title,company,location,link,logo,search_keywords,search_location
"Internship, Data Engineering",Qube Research & Technologies,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-engineering-at-qube-research-technologies-4310891678,https://media.licdn.com/dms/image/v2/C4E0BAQEUECsLWfg0Hg/company-logo_100_100/company-logo_100_100/0/1635758716096/qube_rt_logo?e=2147483647&v=beta&t=-mi67QQbOCmIn67lgwFLTTNEoVNvaNacbyMsepi7-_g,data engineering internship,France
Data Analyst Internship - Strategic Partnerships m/f/d,Deezer,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-internship-strategic-partnerships-m-f-d-at-deezer-4304988184,https://media.licdn.com/dms/image/v2/D4D0BAQGxr7R2V6QvTg/company-logo_100_100/company-logo_100_100/0/1699380258796/deezer_logo?e=2147483647&v=beta&t=tIlsBSxLAG6NyH_an26Xc3xqULhjytfzpN1KT5zYRTU,data engineering internship,France
Data Science Intern,Lyonbiopôle Auvergne-Rhône-Alpes,"Rhône, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/data-science-intern-at-lyonbiop%C3%B4le-auvergne-rh%C3%B4ne-alpes-4303618458,https://media.licdn.com/dms/image/v2/C4E0BAQGciSToD0xPaA/company-logo_100_100/company-logo_100_100/0/1634544686532/lyonbiopole_logo?e=2147483647&v=beta&t=Dmtze_A7po0cl0AEkF5TWzXGs8Q7TBP6QL6vXSyrjUw,data engineering internship,France
Data Engineer - 6-months internship from September 2025,Continuity,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-engineer-6-months-internship-from-september-2025-at-continuity-4314390940,https://media.licdn.com/dms/image/v2/D4E0BAQEluaLtdBkgcw/company-logo_100_100/company-logo_100_100/0/1666182600275/continuity_tech_logo?e=2147483647&v=beta&t=iuATCMoqQi4PskuQsHTH_FrdYC1DQRurnpw1uijzFEw,data engineering internship,France
Data Engineer - International Internship,Advenworks,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-engineer-international-internship-at-advenworks-4264683521,https://media.licdn.com/dms/image/v2/C4D0BAQG3EXVA2APaxw/company-logo_100_100/company-logo_100_100/0/1631357515359/advenworks_logo?e=2147483647&v=beta&t=jbsgTZnzOs4Z0_E1bxqWGbKSFSv0IfEqBLSALfsRijg,data engineering internship,France
Analytics Engineer Intern,SWEEP,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/analytics-engineer-intern-at-sweep-4315227258,https://media.licdn.com/dms/image/v2/D4E0BAQFO01Qi-WK2oQ/company-logo_100_100/company-logo_100_100/0/1720392364255/sweep_softwareforsustainability_logo?e=2147483647&v=beta&t=qjtfPh1FkRqU0mKk1uGJbYYcsKtkOr3hpVKOQ8FUkPk,data engineering internship,France
Machine Learning Research Intern,Joko,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/machine-learning-research-intern-at-joko-4323913240,https://media.licdn.com/dms/image/v2/C4E0BAQHQjoMwGfeSzQ/company-logo_100_100/company-logo_100_100/0/1656673817265/jokoapp_logo?e=2147483647&v=beta&t=pu4uYS_nw1GKPF6z9bEsKoIWY56FJff-AESebpX3YSY,data engineering internship,France
Data Analyst - Climate Expert - Internship,Greenly | Certified B Corp,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/data-analyst-climate-expert-internship-at-greenly-certified-b-corp-4290818488,https://media.licdn.com/dms/image/v2/D560BAQFsqDKQbiz2qg/company-logo_100_100/B56Zku6v7OKAAQ-/0/1757428777760/greenly_earth_logo?e=2147483647&v=beta&t=Xw4qlhccIO_P4B5nDcKkFh9dgueRuX-b7eUu-aeNiOw,data engineering internship,France
Internship : Data & AI Governance - F/M,Technip Energies,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-data-ai-governance-f-m-at-technip-energies-4293816302,https://media.licdn.com/dms/image/v2/D4E0BAQG808USRn4w-w/company-logo_100_100/B4EZXsFO6VGYAU-/0/1743422550086/technip_energies_logo?e=2147483647&v=beta&t=-DowELVNkKCQUI8q-KtgEHrK3Dl5z3qQFBVAXIo14YU,data engineering internship,France
Analytics Engineer AI Intern,Back Market,"Bordeaux, Nouvelle-Aquitaine, France",https://fr.linkedin.com/jobs/view/analytics-engineer-ai-intern-at-back-market-4318533915,https://media.licdn.com/dms/image/v2/D4E0BAQHRv6UClt5D2g/company-logo_100_100/B4EZnoUG3tKgAQ-/0/1760539209613/back_market_logo?e=2147483647&v=beta&t=xgfKyuOZBy8jM1aUZw2iET21tGh6KjYW9NWm1xPPr5g,data engineering internship,France
